Time (s),T_avg_HT0_5Aa (K)
0.295,204.5151258
0.3,206.5721493
0.305,208.6221249
0.31,210.6652281
0.315,212.7016266
0.32,214.7314807
0.325,216.7549435
0.33,218.7721616
0.335,220.7832755
0.34,222.7884201
0.345,224.7877245
0.35,226.7813133
0.355,228.769306
0.36,230.7518179
0.365,232.72896
0.37,234.7008397
0.375,236.6675607
0.38,238.6292234
0.385,240.585925
0.39,242.5377599
0.395,244.48482
0.4,246.4271943
0.405,248.3649701
0.41,250.298232
0.415,252.2270632
0.42,254.1515447
0.425,256.0717561
0.43,257.9877757
0.435,259.8996802
0.44,261.8075452
0.445,263.7114454
0.45,265.6114543
0.455,267.507645
0.46,269.4000895
0.465,271.2888594
0.47,273.1740261
0.475,275.0556601
0.48,276.9338321
0.485,278.8086124
0.49,280.6800713
0.495,282.5482793
0.5,284.4133066
0.505,286.275224
0.51,288.1341023
0.515,289.990013
0.52,291.8430276
0.525,293.6932186
0.53,295.5406587
0.535,297.3854216
0.54,299.2275815
0.545,301.0672136
0.55,302.904394
0.555,304.7391998
0.56,306.57071
0.565,308.3987775
0.57,310.2239507
0.575,312.0465179
0.58,313.8665806
0.585,315.6841683
0.59,317.4992977
0.595,319.3119904
0.6,321.1222728
0.605,322.9301729
0.61,324.7357189
0.615,326.5389378
0.62,328.3398561
0.625,330.1384991
0.63,331.9348914
0.635,333.729057
0.64,335.5210192
0.645,337.3108007
0.65,339.0984234
0.655,340.8839087
0.66,342.6672775
0.665,344.4485498
0.67,346.2277452
0.675,348.0048827
0.68,349.7799809
0.685,351.5530575
0.69,353.32413
0.695,355.0932152
0.7,356.8603296
0.705,358.6254889
0.71,360.3887085
0.715,362.1500035
0.72,363.9093881
0.725,365.6668766
0.73,367.4224824
0.735,369.1762186
0.74,370.9280982
0.745,372.6781333
0.75,374.4263359
0.755,376.1727177
0.76,377.9172897
0.765,379.6600628
0.77,381.4010474
0.775,383.1402538
0.78,384.8776915
0.785,386.6133702
0.79,388.3472988
0.795,390.0794862
0.8,391.8099408
0.805,393.5386709
0.81,395.2656843
0.815,396.9909887
0.82,398.7145914
0.825,400.4364449
0.83,402.1566323
0.835,403.8753011
0.84,405.592525
0.845,407.3083006
0.85,409.0226277
0.855,410.7355117
0.86,412.4469614
0.865,414.1569861
0.87,415.8655952
0.875,417.5727976
0.88,419.2786022
0.885,420.9830177
0.89,422.6860523
0.895,424.3877145
0.9,426.0880124
0.905,427.7869542
0.91,429.4845479
0.915,431.1808012
0.92,432.8757219
0.925,434.5693177
0.93,436.2615962
0.935,437.9525646
0.94,439.6422304
0.945,441.3306008
0.95,443.017683
0.955,444.7034839
0.96,446.3880107
0.965,448.0712701
0.97,449.753269
0.975,451.434014
0.98,453.113512
0.985,454.7917694
0.99,456.4687927
0.995,458.1445885
1,459.8191631
