% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 4 - CvCu_avg_HT0_5Aa (CvCu_avg_HT0_5Aa)
% Time (s),CvCu_avg_HT0_5Aa (J/(m^3*K))
0.004030000000000001,422225.5488843082
0.00404,423039.96515592263
0.004050000000000001,423853.4930840788
0.00406,424666.1356009027
0.004070000000000001,425477.8956212882
0.00408,426288.7760430403
0.004090000000000001,427098.77974702197
0.0041,427907.9095972894
0.00411,428716.1684412309
0.00412,429523.55910971283
0.00413,430330.08441720664
0.0041400000000000005,431135.7471619281
0.00415,431940.55012597254
0.0041600000000000005,432744.49607544113
0.00417,433547.5877605794
0.0041800000000000006,434349.8279158994
0.00419,435151.2192603107
0.004200000000000001,435951.76449724846
0.00421,436751.4663147956
0.004220000000000001,437550.3273858092
0.00423,438348.35036804253
0.004240000000000001,439145.5379042632
0.00425,439941.8926223798
0.004260000000000001,440737.41713555617
0.00427,441532.1140423295
0.00428,442325.9859267274
0.00429,443119.03535838233
0.0043,443911.26489264885
0.0043100000000000005,444702.6770707117
0.00432,445493.27441970084
0.0043300000000000005,446283.05945280194
0.00434,447072.0346693625
0.004350000000000001,447860.20255500486
0.00436,448647.56558173307
0.004370000000000001,449434.12620803155
0.00438,450219.8868789828
0.004390000000000001,451004.850026361
0.0044,451789.018068738
0.004410000000000001,452572.3934115888
0.00442,453354.97844738845
0.004430000000000001,454136.775555712
0.00444,454917.7871033356
0.00445,455698.015444335
0.00446,456477.46292017936
0.00447,457256.1318598307
0.0044800000000000005,458034.02457983576
0.00449,458811.14338442305
0.0045000000000000005,459587.4905655951
0.00451,460363.06840322
0.004520000000000001,461137.8791651243
0.00453,461911.9251071809
0.004540000000000001,462685.20847340167
0.00455,463457.7314960274
0.004560000000000001,464229.4963956087
0.00457,465000.50538110145
0.004580000000000001,465770.7606499486
0.00459,466540.2643881657
0.004600000000000001,467309.0187704281
0.00461,468077.0259601506
0.00462,468844.28810957354
0.0046300000000000004,469610.8073598435
0.00464,470376.58584109845
0.0046500000000000005,471141.6256725409
0.00466,471905.9289625268
0.0046700000000000005,472669.4978086357
0.00468,473432.3342977566
0.004690000000000001,474194.4405061617
0.0047,474955.81849958334
0.004710000000000001,475716.4703332908
0.00472,476476.39805216796
0.004730000000000001,477235.6036907861
0.00474,477994.08927347284
0.004750000000000001,478751.8568143974
0.00476,479508.90831763326
0.004770000000000001,480265.2457772325
0.00478,481020.8711773015
0.00479,481775.78649206564
0.0048000000000000004,482529.99368594243
0.00481,483283.4947136104
0.0048200000000000005,484036.2915200804
0.00483,484788.386040758
0.0048400000000000006,485539.7802015157
0.00485,486290.47591876006
0.004860000000000001,487040.4750994948
0.00487,487789.77964138926
0.004880000000000001,488538.39143284067
0.00489,489286.3123530433
0.004900000000000001,490033.54427204956
0.00491,490780.0890508279
0.004920000000000001,491525.9485413388
0.00493,492271.12458658504
0.004940000000000001,493015.6190206788
0.00495,493759.4336689011
0.00496,494502.5703477643
0.0049700000000000005,495245.0308650701
0.00498,495986.81701996917
0.0049900000000000005,496727.9306030224
0.005,497468.37339625513
0.005,497468.37339625513
0.01,807639.0865518445
0.015,1046314.6011127853
0.02,1240531.937778219
0.025,1404356.8258749042
0.030000000000000002,1546146.524949788
0.034999999999999996,1670698.1120255622
0.04,1780908.0132094917
0.045,1878839.371024029
0.049999999999999996,1966158.9034208846
0.055,2044282.547062539
0.06,2114434.2923421357
0.065,2177687.7747719064
0.07,2235002.6278130277
0.07500000000000001,2287254.408987219
0.08,2335257.3901387807
0.085,2379781.188156984
0.09000000000000001,2421562.6842529885
0.095,2461314.420878184
0.1,2499730.2739731995
0.10500000000000001,2537488.907378636
0.11,2575255.3456671764
0.115,2613680.913837613
0.12000000000000001,2641666.018556802
0.125,2671660.9474423216
0.13,2700215.9477819707
0.135,2727424.726729058
0.14,2753373.604893074
0.14500000000000002,2778142.2202206133
0.15,2801803.916723406
0.155,2824426.2510041627
0.16,2846071.5593235865
0.165,2866797.4999368093
0.17,2886657.533251589
0.17500000000000002,2905701.33666821
0.18000000000000002,2923975.227137728
0.185,2941522.327793895
0.19,2958382.8987323437
0.195,2974594.6271665636
0.2,2990192.844099823
0.20500000000000002,3005210.6996497326
0.21000000000000002,3019679.3235951397
0.215,3033627.9768495876
0.22,3047084.19043394
0.225,3060073.8898048843
0.23,3072621.505659931
0.23500000000000001,3084750.0735554043
0.24000000000000002,3096481.3242148627
0.245,3107835.7656750907
